"","mots","ngrammot","motifs","Oeuvre"
"1368","Paris","Paris . Les cinq","NP . le NUM","Balzac-Goriot"
"1369",".",". Les cinq croisées",". le NUM NC","Balzac-Goriot"
"1370","Les","Les cinq croisées percées","le NUM NC PPAS","Balzac-Goriot"
"1371","cinq","cinq croisées percées à","NUM NC PPAS à","Balzac-Goriot"
"1372","croisées","croisées percées à chaque","NC PPAS à chaque","Balzac-Goriot"
"1373","percées","percées à chaque étage","PPAS à chaque NC","Balzac-Goriot"
"1374","à","à chaque étage ont","à chaque NC avoir","Balzac-Goriot"
"1375","chaque","chaque étage ont de","chaque NC avoir un","Balzac-Goriot"
"1376","étage","étage ont de petits","NC avoir un ADJ","Balzac-Goriot"
"1377","ont","ont de petits carreaux","avoir un ADJ NC","Balzac-Goriot"
"1378","de","de petits carreaux et","un ADJ NC et","Balzac-Goriot"
"1379","petits","petits carreaux et sont","ADJ NC et être","Balzac-Goriot"
"1380","carreaux","carreaux et sont garnies","NC et être PPAS","Balzac-Goriot"
"1381","et","et sont garnies de","et être PPAS de","Balzac-Goriot"
"1382","sont","sont garnies de jalousies","être PPAS de NCABS","Balzac-Goriot"
"1383","garnies","garnies de jalousies dont","PPAS de NCABS dont","Balzac-Goriot"
"1384","de","de jalousies dont aucune","de NCABS dont aucun","Balzac-Goriot"
"1385","jalousies","jalousies dont aucune n’","NCABS dont aucun NP","Balzac-Goriot"
"1386","dont","dont aucune n’ est","dont aucun NP être","Balzac-Goriot"
"1387","aucune","aucune n’ est relevée","aucun NP être PPAS","Balzac-Goriot"
"1388","n’","n’ est relevée de","NP être PPAS de","Balzac-Goriot"
"1389","est","est relevée de la","être PPAS de le","Balzac-Goriot"
"1390","relevée","relevée de la même","PPAS de le même","Balzac-Goriot"
"1391","de","de la même manière","de le même NC","Balzac-Goriot"
"1392","la","la même manière ,","le même NC ,","Balzac-Goriot"
"1393","même","même manière , en","même NC , en","Balzac-Goriot"
"1394","manière","manière , en sorte","NC , en sorte","Balzac-Goriot"
"1395",",",", en sorte que",", en sorte que","Balzac-Goriot"
"1396","en","en sorte que toutes","en sorte que tout","Balzac-Goriot"
"1397","sorte","sorte que toutes leurs","sorte que tout DETPOSS","Balzac-Goriot"
"1398","que","que toutes leurs lignes","que tout DETPOSS NC","Balzac-Goriot"
"1399","toutes","toutes leurs lignes jurent","tout DETPOSS NC PRES","Balzac-Goriot"
"1400","leurs","leurs lignes jurent entre","DETPOSS NC PRES entre","Balzac-Goriot"
"1401","lignes","lignes jurent entre elles","NC PRES entre elles","Balzac-Goriot"
"1402","jurent","jurent entre elles .","PRES entre elles .","Balzac-Goriot"
"1403","entre","entre elles . La","entre elles . le","Balzac-Goriot"
"1404","elles","elles . La profondeur","elles . le NC","Balzac-Goriot"
"1405",".",". La profondeur de",". le NC de","Balzac-Goriot"
"1406","La","La profondeur de cette","le NC de ce","Balzac-Goriot"
"1407","profondeur","profondeur de cette maison","NC de ce NC","Balzac-Goriot"
"1408","de","de cette maison comporte","de ce NC PRES","Balzac-Goriot"
"1409","cette","cette maison comporte deux","ce NC PRES NUM","Balzac-Goriot"
"1410","maison","maison comporte deux croisées","NC PRES NUM NC","Balzac-Goriot"
"1411","comporte","comporte deux croisées qui","PRES NUM NC qui","Balzac-Goriot"
"1412","deux","deux croisées qui ,","NUM NC qui ,","Balzac-Goriot"
"1413","croisées","croisées qui , à","NC qui , à","Balzac-Goriot"
"1414","qui","qui , à le","qui , à le","Balzac-Goriot"
"1415",",",", à le rez-de-chaussée",", à le NC","Balzac-Goriot"
"1416","à","à le rez-de-chaussée ,","à le NC ,","Balzac-Goriot"
"1417","le","le rez-de-chaussée , ont","le NC , avoir","Balzac-Goriot"
"1418","rez-de-chaussée","rez-de-chaussée , ont pour","NC , avoir pour","Balzac-Goriot"
"1419",",",", ont pour ornement",", avoir pour NC","Balzac-Goriot"
"1420","ont","ont pour ornement de","avoir pour NC de","Balzac-Goriot"
"1421","pour","pour ornement de les","pour NC de le","Balzac-Goriot"
"1422","ornement","ornement de les barreaux","NC de le NC","Balzac-Goriot"
"1423","de","de les barreaux en","de le NC en","Balzac-Goriot"
"1424","les","les barreaux en fer","le NC en NC","Balzac-Goriot"
"1425","barreaux","barreaux en fer ,","NC en NC ,","Balzac-Goriot"
"1426","en","en fer , grillagés","en NC , PPAS","Balzac-Goriot"
"1427","fer","fer , grillagés .","NC , PPAS .","Balzac-Goriot"
"1428",",",", grillagés . le",", PPAS . le","Balzac-Goriot"
"1429","grillagés","grillagés . le bâtiment","PPAS . le NC","Balzac-Goriot"
"1430",".",". le bâtiment est",". le NC être","Balzac-Goriot"
"1431","le","le bâtiment est une","le NC être un","Balzac-Goriot"
"1432","bâtiment","bâtiment est une cour","NC être un NC","Balzac-Goriot"
"1433","est","est une cour large","être un NC ADJ","Balzac-Goriot"
"1434","une","une cour large d’","un NC ADJ NP","Balzac-Goriot"
"1435","cour","cour large d’ environ","NC ADJ NP environ","Balzac-Goriot"
"1436","large","large d’ environ vingt","ADJ NP environ NUM","Balzac-Goriot"
"1437","d’","d’ environ vingt pieds","NP environ NUM NCCOR","Balzac-Goriot"
"1438","environ","environ vingt pieds ,","environ NUM NCCOR ,","Balzac-Goriot"
"1439","vingt","vingt pieds , vivent","NUM NCCOR , PRES","Balzac-Goriot"
"1440","pieds","pieds , vivent en","NCCOR , PRES en","Balzac-Goriot"
"1441",",",", vivent en bonne",", PRES en ADJ","Balzac-Goriot"
"1442","vivent","vivent en bonne intelligence","PRES en ADJ NCABS","Balzac-Goriot"
"1443","en","en bonne intelligence de","en ADJ NCABS de","Balzac-Goriot"
"1444","bonne","bonne intelligence de les","ADJ NCABS de le","Balzac-Goriot"
"1445","intelligence","intelligence de les cochons","NCABS de le NC","Balzac-Goriot"
"1446","de","de les cochons ,","de le NC ,","Balzac-Goriot"
"1447","les","les cochons , de","le NC , de","Balzac-Goriot"
"1448","cochons","cochons , de les","NC , de le","Balzac-Goriot"
"1449",",",", de les poules",", de le NC","Balzac-Goriot"
"1450","de","de les poules de","de le NC de","Balzac-Goriot"
"1451","les","les poules de les","le NC de le","Balzac-Goriot"
"1452","poules","poules de les lapins","NC de le NC","Balzac-Goriot"
"1453","de","de les lapins et","de le NC et","Balzac-Goriot"
"1454","les","les lapins et à","le NC et à","Balzac-Goriot"
"1455","lapins","lapins et à le","NC et à le","Balzac-Goriot"
"1456","et","et à le de","et à le de","Balzac-Goriot"
"1457","à","à le de laquelle","à le de lequel","Balzac-Goriot"
"1458","le","le de laquelle s’","le de lequel NP","Balzac-Goriot"
"1459","de","de laquelle s’ élève","de lequel NP PRES","Balzac-Goriot"
"1460","laquelle","laquelle s’ élève un","lequel NP PRES un","Balzac-Goriot"
"1461","s’","s’ élève un hangar","NP PRES un NC","Balzac-Goriot"
"1462","élève","élève un hangar à","PRES un NC à","Balzac-Goriot"
"1463","un","un hangar à serrer","un NC à INF","Balzac-Goriot"
"1464","hangar","hangar à serrer le","NC à INF le","Balzac-Goriot"
"1465","à","à serrer le bois","à INF le NC","Balzac-Goriot"
"1466","serrer","serrer le bois .","INF le NC .","Balzac-Goriot"
"1467","le","le bois . Entre","le NC . entre","Balzac-Goriot"
"1468","bois","bois . Entre ce","NC . entre ce","Balzac-Goriot"
"1469",".",". Entre ce hangar",". entre ce NC","Balzac-Goriot"
"1470","Entre","Entre ce hangar et","entre ce NC et","Balzac-Goriot"
"1471","ce","ce hangar et la","ce NC et le","Balzac-Goriot"
"1472","hangar","hangar et la fenêtre","NC et le NC","Balzac-Goriot"
"1473","et","et la fenêtre de","et le NC de","Balzac-Goriot"
"1474","la","la fenêtre de la","le NC de le","Balzac-Goriot"
"1475","fenêtre","fenêtre de la cuisine","NC de le NC","Balzac-Goriot"
"1476","de","de la cuisine se","de le NC se","Balzac-Goriot"
"1477","la","la cuisine se suspend","le NC se PRES","Balzac-Goriot"
"1478","cuisine","cuisine se suspend le","NC se PRES le","Balzac-Goriot"
"1479","se","se suspend le garde-manger","se PRES le NC","Balzac-Goriot"
"1480","suspend","suspend le garde-manger ,","PRES le NC ,","Balzac-Goriot"
"1481","le","le garde-manger , au-dessous","le NC , ADV","Balzac-Goriot"
"1482","garde-manger","garde-manger , au-dessous de","NC , ADV de","Balzac-Goriot"
"1483",",",", au-dessous de tombent",", ADV de PRES","Balzac-Goriot"
"1484","au-dessous","au-dessous de tombent les","ADV de PRES le","Balzac-Goriot"
"1485","de","de tombent les eaux","de PRES le NC","Balzac-Goriot"
"1486","tombent","tombent les eaux grasses","PRES le NC ADJ","Balzac-Goriot"
"1487","les","les eaux grasses de","le NC ADJ de","Balzac-Goriot"
"1488","eaux","eaux grasses de l’","NC ADJ de NP","Balzac-Goriot"
"1489","grasses","grasses de l’ évier","ADJ de NP ADJ","Balzac-Goriot"
"1490","de","de l’ évier .","de NP ADJ .","Balzac-Goriot"
"1491","l’","l’ évier . Cette","NP ADJ . ce","Balzac-Goriot"
"1492","évier","évier . Cette cour","ADJ . ce NC","Balzac-Goriot"
"1493",".",". Cette cour a",". ce NC avoir","Balzac-Goriot"
"1494","Cette","Cette cour a sur","ce NC avoir sur","Balzac-Goriot"
"1495","cour","cour a sur la","NC avoir sur le","Balzac-Goriot"
"1496","a","a sur la rue","avoir sur le NC","Balzac-Goriot"
"1497","sur","sur la rue Neuve-Sainte-Geneviève","sur le NC NP","Balzac-Goriot"
"1498","la","la rue Neuve-Sainte-Geneviève une","le NC NP un","Balzac-Goriot"
"1499","rue","rue Neuve-Sainte-Geneviève une porte","NC NP un NC","Balzac-Goriot"
"1500","Neuve-Sainte-Geneviève","Neuve-Sainte-Geneviève une porte étroite","NP un NC ADJ","Balzac-Goriot"
"1501","une","une porte étroite par","un NC ADJ par","Balzac-Goriot"
"1502","porte","porte étroite par où","NC ADJ par où","Balzac-Goriot"
"1503","étroite","étroite par où la","ADJ par où le","Balzac-Goriot"
"1504","par","par où la cuisinière","par où le NC","Balzac-Goriot"
"1505","où","où la cuisinière chasse","où le NC PRES","Balzac-Goriot"
"1506","la","la cuisinière chasse les","le NC PRES le","Balzac-Goriot"
"1507","cuisinière","cuisinière chasse les ordures","NC PRES le NC","Balzac-Goriot"
"1508","chasse","chasse les ordures de","PRES le NC de","Balzac-Goriot"
"1509","les","les ordures de la","le NC de le","Balzac-Goriot"
"1510","ordures","ordures de la maison","NC de le NC","Balzac-Goriot"
"1511","de","de la maison en","de le NC en","Balzac-Goriot"
"1512","la","la maison en nettoyant","le NC en PPRES","Balzac-Goriot"
"1513","maison","maison en nettoyant cette","NC en PPRES ce","Balzac-Goriot"
"1514","en","en nettoyant cette sentine","en PPRES ce NC","Balzac-Goriot"
"1515","nettoyant","nettoyant cette sentine à","PPRES ce NC à","Balzac-Goriot"
"1516","cette","cette sentine à grand","ce NC à ADJ","Balzac-Goriot"
"1517","sentine","sentine à grand renfort","NC à ADJ NC","Balzac-Goriot"
"1518","à","à grand renfort d’","à ADJ NC NP","Balzac-Goriot"
"1519","grand","grand renfort d’ eau","ADJ NC NP NC","Balzac-Goriot"
"1520","renfort","renfort d’ eau ,","NC NP NC ,","Balzac-Goriot"
"1521","d’","d’ eau , sous","NP NC , sous","Balzac-Goriot"
"1522","eau","eau , sous peine","NC , sous NCABS","Balzac-Goriot"
"1523",",",", sous peine de",", sous NCABS de","Balzac-Goriot"
"1524","sous","sous peine de pestilence","sous NCABS de NC","Balzac-Goriot"
"1525","peine","peine de pestilence .","NCABS de NC .","Balzac-Goriot"
"1526","de","de pestilence . Naturellement","de NC . ADVMOD","Balzac-Goriot"
"1527","pestilence","pestilence . Naturellement destiné","NC . ADVMOD PPAS","Balzac-Goriot"
"1528",".",". Naturellement destiné à",". ADVMOD PPAS à","Balzac-Goriot"
"1529","Naturellement","Naturellement destiné à l’","ADVMOD PPAS à NP","Balzac-Goriot"
"1530","destiné","destiné à l’ exploitation","PPAS à NP NC","Balzac-Goriot"
"1531","à","à l’ exploitation de","à NP NC de","Balzac-Goriot"
"1532","l’","l’ exploitation de la","NP NC de le","Balzac-Goriot"
"1533","exploitation","exploitation de la pension","NC de le NC","Balzac-Goriot"
"1534","de","de la pension bourgeoise","de le NC ADJ","Balzac-Goriot"
"1535","la","la pension bourgeoise ,","le NC ADJ ,","Balzac-Goriot"
"1536","pension","pension bourgeoise , le","NC ADJ , le","Balzac-Goriot"
"1537","bourgeoise","bourgeoise , le rez-de-chaussée","ADJ , le NC","Balzac-Goriot"
"1538",",",", le rez-de-chaussée se",", le NC se","Balzac-Goriot"
"1539","le","le rez-de-chaussée se compose","le NC se PRES","Balzac-Goriot"
"1540","rez-de-chaussée","rez-de-chaussée se compose d’","NC se PRES NP","Balzac-Goriot"
"1541","se","se compose d’ une","se PRES NP un","Balzac-Goriot"
"1542","compose","compose d’ une première","PRES NP un ADJ","Balzac-Goriot"
"1543","d’","d’ une première pièce","NP un ADJ NC","Balzac-Goriot"
"1544","une","une première pièce éclairée","un ADJ NC PPAS","Balzac-Goriot"
"1545","première","première pièce éclairée par","ADJ NC PPAS par","Balzac-Goriot"
"1546","pièce","pièce éclairée par les","NC PPAS par le","Balzac-Goriot"
"1547","éclairée","éclairée par les deux","PPAS par le NUM","Balzac-Goriot"
"1548","par","par les deux croisées","par le NUM NC","Balzac-Goriot"
"1549","les","les deux croisées de","le NUM NC de","Balzac-Goriot"
"1550","deux","deux croisées de la","NUM NC de le","Balzac-Goriot"
"1551","croisées","croisées de la rue","NC de le NC","Balzac-Goriot"
"1552","de","de la rue ,","de le NC ,","Balzac-Goriot"
"1553","la","la rue , et","le NC , et","Balzac-Goriot"
"1554","rue","rue , et où","NC , et où","Balzac-Goriot"
"1555",",",", et où l’",", et où NP","Balzac-Goriot"
"1556","et","et où l’ on","et où NP on","Balzac-Goriot"
"1557","où","où l’ on entre","où NP on PRES","Balzac-Goriot"
"1558","l’","l’ on entre par","NP on PRES par","Balzac-Goriot"
"1559","on","on entre par une","on PRES par un","Balzac-Goriot"
"1560","entre","entre par une porte-fenêtre","PRES par un NC","Balzac-Goriot"
"1561","par","par une porte-fenêtre .","par un NC .","Balzac-Goriot"
"1562","une","une porte-fenêtre . Ce","un NC . ce","Balzac-Goriot"
"1563","porte-fenêtre","porte-fenêtre . Ce salon","NC . ce NC","Balzac-Goriot"
"1564",".",". Ce salon communique",". ce NC ADJ","Balzac-Goriot"
"1565","Ce","Ce salon communique à","ce NC ADJ à","Balzac-Goriot"
"1566","salon","salon communique à une","NC ADJ à un","Balzac-Goriot"
"1567","communique","communique à une salle","ADJ à un NC","Balzac-Goriot"
"1568","à","à une salle à","à un NC à","Balzac-Goriot"
"1569","une","une salle à manger","un NC à NC","Balzac-Goriot"
"1570","salle","salle à manger qui","NC à NC qui","Balzac-Goriot"
"1571","à","à manger qui est","à NC qui être","Balzac-Goriot"
"1572","manger","manger qui est séparée","NC qui être PPAS","Balzac-Goriot"
"1573","qui","qui est séparée de","qui être PPAS de","Balzac-Goriot"
"1574","est","est séparée de la","être PPAS de le","Balzac-Goriot"
"1575","séparée","séparée de la cuisine","PPAS de le NC","Balzac-Goriot"
"1576","de","de la cuisine par","de le NC par","Balzac-Goriot"
"1577","la","la cuisine par la","le NC par le","Balzac-Goriot"
"1578","cuisine","cuisine par la cage","NC par le NC","Balzac-Goriot"
"1579","par","par la cage d’","par le NC NP","Balzac-Goriot"
"1580","la","la cage d’ un","le NC NP un","Balzac-Goriot"
"1581","cage","cage d’ un escalier","NC NP un NC","Balzac-Goriot"
"1582","d’","d’ un escalier dont","NP un NC dont","Balzac-Goriot"
"1583","un","un escalier dont les","un NC dont le","Balzac-Goriot"
"1584","escalier","escalier dont les marches","NC dont le NC","Balzac-Goriot"
"1585","dont","dont les marches sont","dont le NC être","Balzac-Goriot"
"1586","les","les marches sont en","le NC être en","Balzac-Goriot"
"1587","marches","marches sont en bois","NC être en NC","Balzac-Goriot"
"1588","sont","sont en bois et","être en NC et","Balzac-Goriot"
"1589","en","en bois et en","en NC et en","Balzac-Goriot"
"1590","bois","bois et en carreaux","NC et en NC","Balzac-Goriot"
"1591","et","et en carreaux mis","et en NC PPAS","Balzac-Goriot"
"1592","en","en carreaux mis en","en NC PPAS en","Balzac-Goriot"
"1593","carreaux","carreaux mis en couleur","NC PPAS en NC","Balzac-Goriot"
"1594","mis","mis en couleur et","PPAS en NC et","Balzac-Goriot"
"1595","en","en couleur et frottés","en NC et NC","Balzac-Goriot"
"1596","couleur","couleur et frottés .","NC et NC .","Balzac-Goriot"
"1597","et","et frottés . Rien","et NC . NP","Balzac-Goriot"
"1598","frottés","frottés . Rien n’","NC . NP NP","Balzac-Goriot"
"1599",".",". Rien n’ est",". NP NP être","Balzac-Goriot"
"1600","Rien","Rien n’ est plus","NP NP être plus","Balzac-Goriot"
"1601","n’","n’ est plus triste","NP être plus ADJ","Balzac-Goriot"
"1602","est","est plus triste à","être plus ADJ à","Balzac-Goriot"
"1603","plus","plus triste à voir","plus ADJ à INF","Balzac-Goriot"
"1604","triste","triste à voir que","ADJ à INF que","Balzac-Goriot"
"1605","à","à voir que ce","à INF que ce","Balzac-Goriot"
"1606","voir","voir que ce salon","INF que ce NC","Balzac-Goriot"
"1607","que","que ce salon meublé","que ce NC PPAS","Balzac-Goriot"
"1608","ce","ce salon meublé de","ce NC PPAS de","Balzac-Goriot"
"1609","salon","salon meublé de fauteuils","NC PPAS de NC","Balzac-Goriot"
"1610","meublé","meublé de fauteuils et","PPAS de NC et","Balzac-Goriot"
"1611","de","de fauteuils et de","de NC et de","Balzac-Goriot"
"1612","fauteuils","fauteuils et de chaises","NC et de NC","Balzac-Goriot"
"1613","et","et de chaises en","et de NC en","Balzac-Goriot"
"1614","de","de chaises en étoffe","de NC en NC","Balzac-Goriot"
"1615","chaises","chaises en étoffe de","NC en NC de","Balzac-Goriot"
"1616","en","en étoffe de crin","en NC de NC","Balzac-Goriot"
"1617","étoffe","étoffe de crin à","NC de NC à","Balzac-Goriot"
"1618","de","de crin à raies","de NC à NC","Balzac-Goriot"
"1619","crin","crin à raies alternativement","NC à NC ADV","Balzac-Goriot"
